id,state,abbr,TotalPop,BachelorsOrMore,BachelorsOrMore_moe,LessThanHighscool,EmployedPop>16years,EmployedPop_moe>16years,UnemployedPop,UnemployedPop_moe>16years,familyincomeMorethan50k,familyincome_Low,familyincome_High,DepressionSampleSize,depression_datavalue,depression_low,depression_high,NoHealthcoverageSampleSize,NoHealthcoverage,Nohealthcoverage_low,Nohealthcoverage_high,geolocation,NoWork,NotAffordHealthcare,Column1
,36,New York,NY,19746227,15.1,0.4,12.8,58.5,0.2,7.3,0.1,45.9,44.3,47.6,1128,15.9,14.8,17,6276,12.3,86.6,88.9,"(42.82700103200045, -75.54397042699964)",3.9,14
,37,North Carolina,NC,9943964,9.5,0.6,13.8,56.3,0.3,8.3,0.2,40,38.4,41.5,1430,19,17.9,20.1,6313,16.1,82.8,85,"(35.466220975000454, -79.15925046299964)",3.2,16.2
,38,North Dakota,ND,739482,12.9,2.4,10.9,66.5,0.8,3,0.4,51.8,49.8,53.7,1200,17.3,15.9,18.7,7326,8.8,90,92.4,"(47.47531977900047, -100.11842104899966)",2.2,7
,39,Ohio,OH,11594163,9.5,0.4,13.7,58.7,0.2,7.2,0.2,44,42.4,45.6,2289,20.9,19.6,22.1,10170,10.2,88.7,90.9,"(40.06021014100048, -82.40426005599966)",3.5,13.1
,40,Oklahoma,OK,3878051,7.1,0.6,16.6,57.3,0.3,5.7,0.3,40.2,38.8,41.7,1874,21.8,20.7,23,7631,13.9,85,87.1,"(35.47203135600046, -97.52107021399968)",2.7,15
,41,Oregon,OR,3970239,7.6,0.9,13.6,56.6,0.4,7.8,0.3,43.4,41.5,45.4,1268,24,22.4,25.5,4852,11,87.6,90.3,"(44.56744942400047, -120.15503132599969)",2.4,14.4
,42,Pennsylvania,PA,12787209,12.1,0.5,12,58.1,0.2,7,0.2,47.1,45.7,48.5,2184,19.7,18.6,20.7,10243,10.1,88.9,90.8,"(40.79373015200048, -77.86070029399963)",3,11.8
,44,Rhode Island,RI,1055173,12.1,1.6,11.2,59.7,0.8,7.8,0.6,49.1,47.2,51,1343,20.6,19.2,22.1,6151,8,90.8,93.2,"(41.70828019300046, -71.52247031399963)",3.8,11.9
,45,South Carolina,SC,4832482,8.4,0.9,14.5,54.9,0.4,8.1,0.3,37.7,36.3,39,2157,19.9,18.8,20.9,9732,17.1,81.8,84,"(33.998821303000454, -81.04537120699968)",3.7,18.1
,46,South Dakota,SD,853175,7.1,1.4,16,66.5,0.7,3.9,0.5,45.2,43.1,47.4,1168,16.6,15,18.1,6865,9.9,88.6,91.7,"(44.353130053000484, -100.3735306369997)",3.6,10
